sale_date,car_model,sales_amount,dealer,color,engine_capacity,model_year,horsepower,type
2020-07-20,Honda Accord,49578,Dealer B,Gray,2.0L,2020,223,SUV
2020-05-01,Honda Civic,28218,Dealer B,White,2.0L,2025,159,Intermediate Sedan
2021-03-09,Honda Civic,36918,Dealer B,Black,2.5L,2024,369,Intermediate Sedan
2024-04-21,Audi A4,19388,Dealer B,Silver,3.0L,2024,210,SUV
2022-09-25,Audi A6,19486,Dealer B,Silver,2.0L,2024,358,SUV
2020-03-30,Audi A6,53333,Dealer B,Gray,2.0L,2022,366,Standard Sedan
2021-06-01,Ford Mustang,28768,Dealer B,Black,3.0L,2023,178,Intermediate Sedan
2021-02-17,Audi A4,34941,Dealer B,Silver,2.5L,2020,291,Premium
2021-12-17,Ford Focus,27321,Dealer B,White,3.0L,2020,189,Standard Sedan
2022-02-23,Honda Civic,20779,Dealer B,Blue,3.0L,2023,198,Sports
2024-10-02,Audi A6,58932,Dealer B,White,3.5L,2024,350,Premium
2024-04-15,Chevrolet Impala,45532,Dealer B,Red,3.0L,2025,187,Standard Sedan
2021-12-31,Audi A6,36694,Dealer B,Black,2.0L,2020,320,Intermediate Sedan
2024-12-04,Chevrolet Malibu,52493,Dealer B,Green,2.0L,2025,200,Standard Sedan
2023-03-25,BMW 3 Series,44303,Dealer B,Gray,3.5L,2025,193,Premium
2021-10-29,BMW 3 Series,31515,Dealer B,Gray,3.0L,2024,396,Premium
2020-10-02,Audi A4,54885,Dealer B,Green,3.5L,2022,212,Premium
2021-08-31,BMW 3 Series,26363,Dealer B,White,3.0L,2024,196,Standard Sedan
2020-06-06,Honda Accord,50352,Dealer B,Black,3.5L,2022,150,Sports
2020-02-23,Toyota Camry,42203,Dealer B,White,2.5L,2025,159,Intermediate Sedan
2020-10-08,Ford Focus,48545,Dealer B,Green,3.0L,2020,306,Sports
2020-01-18,Toyota Camry,17973,Dealer B,Gray,2.5L,2024,174,Sports
2022-06-08,BMW 5 Series,58213,Dealer B,Red,3.0L,2022,215,Standard Sedan
2020-08-13,BMW 3 Series,38481,Dealer B,Red,2.0L,2024,159,SUV
2024-09-26,Chevrolet Malibu,36882,Dealer B,Black,3.5L,2020,292,Intermediate Sedan
2021-06-19,Toyota Corolla,17996,Dealer B,Gray,3.5L,2024,156,SUV
2022-05-31,BMW 5 Series,23365,Dealer B,Blue,3.5L,2021,298,Sports
2023-12-13,Honda Accord,46302,Dealer B,Silver,2.5L,2020,362,SUV
2024-03-20,Ford Mustang,31744,Dealer B,Silver,2.5L,2021,166,Standard Sedan
2023-08-12,BMW 3 Series,30927,Dealer B,Black,3.5L,2025,227,SUV
2024-04-17,Chevrolet Impala,29224,Dealer B,Red,2.0L,2023,324,SUV
2020-07-29,Toyota Corolla,43514,Dealer B,Black,2.0L,2021,153,Standard Sedan
2022-11-05,Honda Civic,18988,Dealer B,Black,3.5L,2021,288,Intermediate Sedan
2023-04-28,Audi A6,58784,Dealer B,Blue,3.0L,2025,185,SUV
2022-08-29,Honda Civic,44525,Dealer B,Black,3.5L,2022,156,Premium
2020-05-12,Honda Accord,39742,Dealer B,White,3.5L,2023,267,Intermediate Sedan
2021-03-07,BMW 5 Series,18507,Dealer B,Blue,2.0L,2021,216,SUV
2023-01-10,Audi A6,41700,Dealer B,Silver,2.0L,2024,179,Premium
2023-01-09,Honda Accord,54581,Dealer B,White,3.5L,2024,281,Premium
2023-09-13,Honda Accord,55662,Dealer B,Red,2.5L,2022,344,Premium
2023-10-01,BMW 3 Series,56700,Dealer B,Green,3.5L,2025,347,Standard Sedan
2022-09-20,Audi A6,52977,Dealer B,Red,2.5L,2023,170,Sports
2023-03-05,Toyota Camry,27286,Dealer B,Red,3.5L,2020,377,Standard Sedan
2021-10-05,Chevrolet Impala,45734,Dealer B,White,2.0L,2022,242,Premium
2023-10-13,Chevrolet Malibu,17055,Dealer B,Silver,2.5L,2024,220,Intermediate Sedan
2021-04-14,Ford Mustang,30080,Dealer B,Red,3.5L,2025,159,Premium
2024-03-07,Chevrolet Malibu,57738,Dealer B,Silver,3.5L,2020,242,Intermediate Sedan
2023-09-06,BMW 3 Series,18252,Dealer B,Gray,2.5L,2024,210,Intermediate Sedan
2023-05-28,Audi A4,54161,Dealer B,White,2.0L,2022,274,Intermediate Sedan
2023-03-07,BMW 5 Series,21441,Dealer B,Silver,3.0L,2023,173,Intermediate Sedan
2025-03-02,Audi A6,16802,Dealer B,Gray,2.0L,2023,233,SUV
2021-06-17,Audi A4,31173,Dealer B,Gray,2.0L,2022,281,Standard Sedan
2020-05-21,Chevrolet Impala,27656,Dealer B,Gray,3.0L,2025,297,Sports
2024-05-15,Audi A6,41310,Dealer B,Red,3.0L,2021,260,Intermediate Sedan
2022-06-07,Toyota Corolla,22907,Dealer B,Black,2.5L,2023,347,Sports
2020-05-09,Audi A6,52083,Dealer B,Red,2.5L,2020,316,Intermediate Sedan
2021-07-18,Honda Accord,58587,Dealer B,Silver,3.5L,2023,253,Premium
2022-06-25,Audi A4,59902,Dealer B,White,2.5L,2022,288,Premium
2020-07-25,Chevrolet Malibu,49765,Dealer B,Red,2.0L,2020,228,SUV
2022-08-17,Audi A6,48465,Dealer B,Blue,3.0L,2024,182,Sports
2021-07-19,Chevrolet Impala,39888,Dealer B,Black,2.5L,2025,326,Standard Sedan
2022-11-26,Honda Civic,31374,Dealer B,Black,3.0L,2024,242,Sports
2024-09-03,Honda Civic,26335,Dealer B,Black,3.0L,2023,215,Sports
2021-09-21,Toyota Camry,40641,Dealer B,White,2.0L,2023,218,Premium
2024-12-21,Chevrolet Impala,21509,Dealer B,Green,2.5L,2022,184,SUV
2020-12-24,Chevrolet Impala,35580,Dealer B,Gray,2.0L,2023,210,Intermediate Sedan
2024-12-25,Chevrolet Malibu,20943,Dealer B,White,3.0L,2020,177,Sports
2023-01-27,Chevrolet Malibu,32031,Dealer B,Silver,3.5L,2021,344,Premium
2021-12-30,Ford Focus,56605,Dealer B,Silver,3.5L,2021,369,Sports
2022-07-22,Toyota Corolla,23256,Dealer B,Blue,2.5L,2021,201,Intermediate Sedan
2021-12-25,Toyota Corolla,39470,Dealer B,Gray,2.5L,2022,196,Sports
2021-06-07,Ford Mustang,16657,Dealer B,Black,2.0L,2020,372,Intermediate Sedan
2024-02-05,Honda Civic,28628,Dealer B,Silver,3.5L,2020,244,Standard Sedan
2022-09-22,Toyota Corolla,18415,Dealer B,Silver,2.5L,2020,315,Standard Sedan
2022-07-29,Ford Mustang,55490,Dealer B,Black,3.5L,2025,160,SUV
2023-01-29,Honda Civic,54272,Dealer B,Gray,3.5L,2022,366,Sports
2023-04-24,Chevrolet Impala,44853,Dealer B,Silver,3.0L,2023,233,Intermediate Sedan
2020-10-05,Honda Civic,57283,Dealer B,Green,3.0L,2021,340,Standard Sedan
2025-02-22,BMW 3 Series,30204,Dealer B,Blue,2.0L,2022,295,SUV
2023-03-10,Honda Accord,17430,Dealer B,Red,2.0L,2020,181,Premium
2023-08-09,BMW 5 Series,32430,Dealer B,Silver,2.0L,2024,384,Standard Sedan
2023-11-18,Ford Mustang,54808,Dealer B,Blue,2.0L,2021,290,Intermediate Sedan
2024-03-05,Chevrolet Malibu,53949,Dealer B,Black,3.0L,2021,302,Standard Sedan
2022-11-22,Honda Civic,46501,Dealer B,Black,3.5L,2022,256,Sports
2023-04-13,Honda Accord,36679,Dealer B,Gray,2.5L,2025,212,SUV
2020-01-17,Toyota Corolla,35529,Dealer B,Green,2.5L,2022,228,Sports
2024-08-26,BMW 5 Series,51657,Dealer B,Blue,2.5L,2023,355,Sports
2022-03-10,Ford Mustang,48489,Dealer B,Black,2.5L,2020,339,SUV
2022-04-21,Chevrolet Impala,41848,Dealer B,White,3.0L,2024,378,Standard Sedan
2024-12-17,BMW 5 Series,15274,Dealer B,Blue,2.5L,2025,253,Premium
2025-03-16,Audi A6,28080,Dealer B,Red,2.5L,2020,371,Intermediate Sedan
2022-06-06,BMW 3 Series,47101,Dealer B,Red,3.5L,2024,266,Standard Sedan
2020-06-27,Toyota Corolla,39201,Dealer B,White,2.0L,2022,296,Intermediate Sedan
2021-05-25,Audi A4,54852,Dealer B,Green,2.0L,2024,187,SUV
2022-03-19,Toyota Camry,42723,Dealer B,White,2.5L,2024,327,SUV
2021-06-25,Honda Civic,58795,Dealer B,Gray,3.0L,2024,302,Standard Sedan
2024-11-30,Honda Civic,19515,Dealer B,Silver,2.5L,2022,322,SUV
2022-05-31,BMW 5 Series,44271,Dealer B,Green,2.5L,2024,387,SUV
2021-01-31,BMW 5 Series,27720,Dealer B,White,3.5L,2025,237,Standard Sedan
2023-08-03,Honda Civic,35153,Dealer B,Gray,3.0L,2024,234,SUV
2020-07-22,BMW 3 Series,44368,Dealer B,Black,3.5L,2024,270,Standard Sedan
2022-08-08,Honda Civic,22943,Dealer B,Green,2.0L,2025,294,SUV
2022-08-14,Chevrolet Malibu,39183,Dealer B,Gray,2.5L,2023,178,Premium
2020-04-10,Chevrolet Malibu,36112,Dealer B,Silver,2.0L,2024,197,SUV
2020-10-28,Chevrolet Impala,21954,Dealer B,Black,3.0L,2022,171,Intermediate Sedan
2022-12-25,Honda Accord,32137,Dealer B,White,2.5L,2025,258,Standard Sedan
2022-09-15,Chevrolet Impala,39705,Dealer B,White,2.5L,2020,304,SUV
2022-11-15,Audi A6,24399,Dealer B,Silver,2.5L,2024,309,Standard Sedan
2022-06-28,Chevrolet Impala,32461,Dealer B,Black,2.5L,2020,384,Intermediate Sedan
2023-03-04,Toyota Camry,46137,Dealer B,Red,3.0L,2023,340,Standard Sedan
2024-06-28,Chevrolet Malibu,48983,Dealer B,Black,2.5L,2024,391,Sports
2021-12-23,BMW 3 Series,23820,Dealer B,Silver,3.5L,2024,215,Intermediate Sedan
2024-11-06,Audi A6,35180,Dealer B,Green,2.5L,2024,203,Sports
2023-12-28,BMW 3 Series,27928,Dealer B,Blue,2.0L,2025,256,Intermediate Sedan
2020-04-22,Ford Focus,23622,Dealer B,White,3.5L,2021,376,Intermediate Sedan
2024-11-21,Toyota Camry,18584,Dealer B,Blue,2.5L,2025,186,Sports
2020-01-22,Chevrolet Impala,27015,Dealer B,Green,3.5L,2021,344,Sports
2021-10-27,Toyota Camry,49670,Dealer B,Green,2.0L,2020,279,Intermediate Sedan
2022-04-21,Chevrolet Impala,46119,Dealer B,Gray,3.0L,2024,230,Premium
2022-03-26,Ford Mustang,50302,Dealer B,Gray,3.0L,2021,309,Premium
2023-01-23,Toyota Corolla,53115,Dealer B,Blue,2.5L,2020,337,Premium
2022-07-27,Ford Mustang,15093,Dealer B,Silver,2.0L,2022,160,SUV
2021-09-07,BMW 5 Series,55484,Dealer B,Red,3.0L,2021,345,Intermediate Sedan
2022-12-21,Honda Civic,54259,Dealer B,Gray,3.0L,2022,310,SUV
2021-09-27,Chevrolet Malibu,30474,Dealer B,Blue,3.5L,2023,388,Intermediate Sedan
2022-12-13,Toyota Camry,25920,Dealer B,Black,2.5L,2023,192,Standard Sedan
2024-01-09,BMW 3 Series,56637,Dealer B,Gray,3.5L,2022,314,SUV
2022-02-17,Toyota Corolla,56771,Dealer B,Green,2.0L,2020,276,Sports
2022-11-26,Audi A6,43568,Dealer B,Gray,2.0L,2020,166,Standard Sedan
2022-08-30,BMW 5 Series,37728,Dealer B,Gray,3.0L,2020,209,Standard Sedan
2023-10-09,BMW 3 Series,48874,Dealer B,Red,2.5L,2025,153,Intermediate Sedan
2020-12-05,Ford Focus,51150,Dealer B,Silver,2.5L,2021,322,Sports
2024-12-14,BMW 5 Series,45866,Dealer B,Black,3.0L,2022,179,Intermediate Sedan
2024-04-15,Audi A4,25313,Dealer B,Black,3.0L,2021,215,Standard Sedan
2023-07-09,BMW 3 Series,30569,Dealer B,Blue,3.5L,2024,366,Standard Sedan
2020-07-13,Honda Civic,46991,Dealer B,Green,3.0L,2021,278,SUV
2021-10-21,BMW 3 Series,32926,Dealer B,Green,2.0L,2024,299,Intermediate Sedan
2021-10-06,Toyota Camry,28331,Dealer B,White,2.5L,2023,210,Sports
2021-11-10,Toyota Camry,46454,Dealer B,Silver,2.5L,2021,319,Intermediate Sedan
2023-12-12,BMW 3 Series,41691,Dealer B,White,2.0L,2025,362,Premium
2020-05-17,Toyota Camry,48683,Dealer B,White,2.5L,2021,312,Intermediate Sedan
2024-02-11,Audi A6,36447,Dealer B,Green,3.0L,2024,214,Intermediate Sedan
2024-11-06,Toyota Camry,49452,Dealer B,Silver,3.0L,2021,332,SUV
2022-03-13,BMW 5 Series,51527,Dealer B,Red,3.5L,2022,211,Premium
2022-04-16,Chevrolet Malibu,45949,Dealer B,White,3.0L,2025,207,Premium
2023-01-19,Chevrolet Malibu,26367,Dealer B,Gray,3.0L,2025,290,SUV
2024-02-20,Toyota Corolla,46041,Dealer B,Red,3.0L,2024,187,Intermediate Sedan
2024-11-08,Chevrolet Impala,25356,Dealer B,Black,3.5L,2024,219,SUV
2024-03-02,BMW 5 Series,27566,Dealer B,Silver,2.5L,2021,241,SUV
2022-05-20,Honda Accord,47762,Dealer B,Silver,3.5L,2025,225,Premium
2021-10-18,Toyota Camry,34613,Dealer B,Black,3.5L,2022,171,Intermediate Sedan
2021-02-14,Audi A6,16362,Dealer B,White,2.0L,2021,252,Standard Sedan
2022-09-08,Chevrolet Malibu,29944,Dealer B,Black,2.5L,2022,308,Standard Sedan
2020-07-01,Audi A6,56626,Dealer B,Gray,2.5L,2021,168,Sports
2021-07-12,Ford Focus,55945,Dealer B,Black,3.5L,2021,203,Standard Sedan
2021-08-09,Ford Focus,46551,Dealer B,Blue,3.0L,2020,189,Sports
2022-06-08,BMW 5 Series,54481,Dealer B,Green,3.5L,2023,199,SUV
2021-08-03,BMW 5 Series,25165,Dealer B,Blue,2.0L,2024,192,SUV
2024-01-28,Audi A4,36674,Dealer B,Gray,3.0L,2023,241,SUV
2021-04-29,Chevrolet Impala,45893,Dealer B,Green,3.5L,2024,171,Sports
2021-05-26,Toyota Camry,59255,Dealer B,Blue,2.5L,2022,176,SUV
2021-08-09,BMW 3 Series,52019,Dealer B,Green,2.5L,2021,168,SUV
2023-01-12,Toyota Camry,15408,Dealer B,Red,3.5L,2021,255,Sports
2022-09-24,BMW 3 Series,17103,Dealer B,Blue,3.0L,2025,351,Intermediate Sedan
2020-12-11,Chevrolet Malibu,15579,Dealer B,Green,2.5L,2025,369,Standard Sedan
2024-03-26,BMW 3 Series,28100,Dealer B,Gray,3.0L,2023,277,Intermediate Sedan
2022-01-08,Honda Accord,46342,Dealer B,White,2.0L,2025,195,Premium
2023-07-04,Chevrolet Impala,35799,Dealer B,Red,3.5L,2022,177,Standard Sedan
2021-12-23,Ford Mustang,32378,Dealer B,Green,3.5L,2023,207,Sports
2024-03-21,Honda Accord,47684,Dealer B,Blue,2.0L,2025,379,Sports
2024-01-04,BMW 3 Series,38283,Dealer B,Silver,2.0L,2023,268,Intermediate Sedan
2020-03-05,Ford Mustang,48874,Dealer B,Silver,2.5L,2023,307,Premium
2024-02-04,BMW 3 Series,35907,Dealer B,Red,3.0L,2023,272,Standard Sedan
2020-03-19,Honda Civic,27399,Dealer B,Black,2.0L,2022,191,SUV
2024-08-09,Honda Accord,35903,Dealer B,White,2.5L,2020,274,Sports
2021-06-24,BMW 5 Series,44080,Dealer B,White,2.5L,2025,162,Sports
2024-08-24,Toyota Camry,24973,Dealer B,Gray,2.5L,2024,221,SUV
2021-04-17,Honda Civic,57565,Dealer B,Blue,3.0L,2022,169,Sports
2020-10-31,Toyota Camry,16312,Dealer B,Red,2.5L,2021,161,Sports
2024-06-08,Audi A4,37316,Dealer B,Silver,3.5L,2023,245,Intermediate Sedan
2025-03-08,Audi A6,29921,Dealer B,Green,2.5L,2025,387,Intermediate Sedan
2021-05-06,Toyota Camry,21683,Dealer B,Red,3.0L,2021,200,Sports
2022-06-20,Ford Focus,48647,Dealer B,Silver,3.5L,2022,302,Intermediate Sedan
2022-01-06,BMW 5 Series,24516,Dealer B,Silver,3.5L,2025,174,Intermediate Sedan
2020-07-25,Ford Mustang,15878,Dealer B,Gray,3.0L,2022,395,Premium
2022-02-22,Toyota Camry,28031,Dealer B,Black,3.5L,2023,155,Sports
2024-01-30,Chevrolet Impala,56379,Dealer B,Red,3.0L,2021,152,SUV
2024-07-09,Audi A6,59913,Dealer B,Green,2.5L,2024,216,Intermediate Sedan
2021-08-04,Ford Focus,36293,Dealer B,White,3.0L,2024,306,Intermediate Sedan
2023-06-26,BMW 5 Series,56819,Dealer B,Blue,3.5L,2025,174,SUV
2022-03-19,Honda Civic,43073,Dealer B,Green,3.5L,2020,279,Sports
2022-03-07,Honda Civic,44970,Dealer B,Silver,3.5L,2022,387,Standard Sedan
2021-05-25,Chevrolet Impala,27134,Dealer B,Black,3.5L,2022,215,Intermediate Sedan
2022-10-14,BMW 3 Series,20946,Dealer B,Gray,2.0L,2023,235,Sports
2022-09-09,Ford Focus,36848,Dealer B,Blue,3.0L,2024,214,Sports
2024-03-24,Ford Focus,46197,Dealer B,Green,3.0L,2022,356,SUV
2024-10-30,Toyota Corolla,21271,Dealer B,Green,2.5L,2024,180,Sports
2024-05-20,Audi A6,43407,Dealer B,White,3.0L,2020,151,Premium
2021-07-26,Ford Mustang,50012,Dealer B,Gray,2.0L,2021,233,Standard Sedan
2023-09-03,Audi A6,32590,Dealer B,Silver,2.0L,2022,161,Intermediate Sedan
2022-12-12,Audi A4,18567,Dealer B,Green,2.5L,2022,351,SUV
2023-05-25,BMW 5 Series,24058,Dealer B,Red,2.5L,2020,164,Sports
2024-11-02,Chevrolet Impala,35997,Dealer B,White,2.0L,2025,339,Intermediate Sedan
2021-01-06,Ford Focus,44870,Dealer B,Green,3.5L,2025,397,SUV
2025-01-19,Honda Civic,59191,Dealer B,Red,3.5L,2021,293,Sports
2023-07-02,BMW 5 Series,56140,Dealer B,Gray,3.5L,2024,244,Intermediate Sedan
2020-02-17,Chevrolet Impala,50081,Dealer B,Silver,2.5L,2020,305,Sports
2021-07-06,Toyota Camry,30155,Dealer B,Red,3.5L,2022,221,SUV
2020-05-24,Toyota Corolla,23317,Dealer B,Blue,2.5L,2022,159,Intermediate Sedan
2024-10-26,Chevrolet Malibu,20685,Dealer B,Blue,2.5L,2020,371,Intermediate Sedan
2023-12-21,Honda Civic,29892,Dealer B,Red,2.0L,2024,284,Standard Sedan
2022-02-07,Chevrolet Malibu,21192,Dealer B,Silver,3.5L,2023,288,SUV
2020-07-28,Ford Focus,24213,Dealer B,Silver,2.5L,2020,203,Standard Sedan
2024-12-22,BMW 3 Series,47184,Dealer B,White,2.5L,2021,212,Sports
2023-05-28,Chevrolet Impala,41345,Dealer B,Blue,3.0L,2021,251,Intermediate Sedan
2022-12-28,Ford Focus,43939,Dealer B,White,3.0L,2022,376,Premium
2021-03-21,Honda Civic,49469,Dealer B,Green,3.5L,2020,271,Standard Sedan
2024-10-11,Audi A4,36834,Dealer B,Blue,2.0L,2021,267,Premium
2022-10-30,Honda Civic,36772,Dealer B,Gray,2.0L,2024,180,Standard Sedan
2024-05-18,Honda Accord,27373,Dealer B,Black,2.5L,2021,157,Intermediate Sedan
2024-04-09,Honda Civic,28982,Dealer B,White,2.5L,2024,394,Premium
2024-04-15,Toyota Camry,46354,Dealer B,Black,3.0L,2023,312,Sports
2020-06-21,Ford Mustang,57274,Dealer B,White,2.0L,2020,316,Standard Sedan
2022-09-12,Toyota Camry,41831,Dealer B,Gray,2.5L,2024,366,Sports
2021-03-05,BMW 3 Series,56645,Dealer B,Blue,3.5L,2023,162,SUV
2020-12-24,Toyota Corolla,20764,Dealer B,Green,3.5L,2022,245,Premium
2022-05-10,Honda Accord,39815,Dealer B,Green,2.0L,2024,287,Sports
2023-02-20,BMW 5 Series,23770,Dealer B,Blue,3.5L,2021,174,SUV
2022-09-04,Chevrolet Impala,48864,Dealer B,Red,3.0L,2023,203,Premium
2023-06-20,Honda Civic,24616,Dealer B,Gray,2.5L,2023,267,Sports
2024-12-22,Chevrolet Malibu,58346,Dealer B,Blue,3.5L,2022,269,Premium
2020-12-15,Audi A4,29092,Dealer B,Red,3.5L,2025,379,SUV
2021-02-06,Ford Focus,49465,Dealer B,Silver,2.0L,2023,317,Intermediate Sedan
2024-05-18,Audi A6,58266,Dealer B,Red,2.5L,2021,270,Standard Sedan
2021-04-13,Toyota Camry,50241,Dealer B,Black,2.5L,2020,399,SUV
2020-06-24,Audi A4,47710,Dealer B,Black,3.0L,2020,314,Standard Sedan
2021-07-10,Honda Civic,17220,Dealer B,Blue,2.5L,2021,253,Intermediate Sedan
2022-09-02,Chevrolet Malibu,26883,Dealer B,Blue,2.5L,2020,194,Intermediate Sedan
2022-09-13,Chevrolet Malibu,59574,Dealer B,Silver,2.0L,2024,171,Premium
2025-03-20,Honda Civic,41523,Dealer B,Gray,2.5L,2020,271,Premium
2023-06-27,Audi A4,21721,Dealer B,Black,2.0L,2022,198,Premium
2020-10-08,Chevrolet Malibu,53114,Dealer B,Silver,3.5L,2021,360,Premium
2022-05-13,BMW 3 Series,39882,Dealer B,White,3.5L,2020,303,Intermediate Sedan
2022-03-07,Honda Accord,54907,Dealer B,Green,2.0L,2024,286,Premium
2024-05-08,Honda Accord,39433,Dealer B,Red,3.5L,2021,377,Intermediate Sedan
2021-04-21,BMW 5 Series,44957,Dealer B,Black,3.0L,2024,344,Standard Sedan
2021-05-18,Toyota Camry,45015,Dealer B,Gray,2.0L,2024,383,Premium
2023-06-12,Honda Civic,49907,Dealer B,Black,3.0L,2022,340,Standard Sedan
2023-06-25,Chevrolet Malibu,30829,Dealer B,Blue,3.5L,2021,273,Standard Sedan
2023-08-03,Chevrolet Malibu,37686,Dealer B,Black,3.0L,2022,322,Premium
2024-01-15,Audi A6,49394,Dealer B,Green,3.5L,2024,262,Premium
2021-01-06,Chevrolet Impala,23873,Dealer B,Gray,2.5L,2025,227,Premium
2024-01-13,Toyota Camry,57173,Dealer B,Black,3.5L,2023,321,SUV
2021-08-17,Honda Civic,27970,Dealer B,Green,2.0L,2023,339,Standard Sedan
2021-10-02,Honda Civic,18047,Dealer B,Gray,2.0L,2023,194,Standard Sedan
2021-07-20,BMW 5 Series,56256,Dealer B,Blue,2.0L,2025,285,SUV
2022-11-22,Chevrolet Malibu,48217,Dealer B,Gray,3.5L,2022,174,SUV
2023-04-16,Chevrolet Malibu,39262,Dealer B,Silver,2.0L,2023,345,Sports
2022-05-03,Chevrolet Malibu,36301,Dealer B,Silver,2.5L,2024,323,Premium
2021-10-16,Honda Accord,22377,Dealer B,Blue,2.0L,2023,203,Sports
2023-09-18,Toyota Corolla,34402,Dealer B,White,3.5L,2021,233,Standard Sedan
2020-01-12,Honda Civic,50089,Dealer B,Gray,2.0L,2025,248,Intermediate Sedan
2023-12-08,BMW 5 Series,33496,Dealer B,Blue,3.5L,2021,299,Standard Sedan
2023-01-07,Ford Focus,42305,Dealer B,Blue,3.0L,2023,277,Intermediate Sedan
2024-09-27,Chevrolet Impala,55630,Dealer B,Green,2.0L,2022,218,SUV
2020-08-02,Chevrolet Malibu,51532,Dealer B,Blue,2.5L,2025,379,Sports
2024-03-11,Ford Mustang,22709,Dealer B,Blue,2.5L,2021,219,Sports
2024-08-12,BMW 5 Series,48691,Dealer B,Black,2.5L,2023,156,Standard Sedan
2024-06-01,Toyota Corolla,58571,Dealer B,White,2.5L,2022,282,SUV
2024-10-06,BMW 5 Series,43497,Dealer B,Black,3.5L,2020,383,Standard Sedan
2021-07-11,Toyota Camry,55593,Dealer B,Blue,2.5L,2020,343,Intermediate Sedan
2023-07-21,Ford Focus,55102,Dealer B,White,2.0L,2024,218,Intermediate Sedan
2022-05-31,Audi A6,48167,Dealer B,Red,3.5L,2024,317,Premium
2021-09-01,Chevrolet Malibu,44423,Dealer B,White,2.5L,2021,365,Premium
2020-11-20,Toyota Corolla,22410,Dealer B,Black,3.0L,2025,296,Sports
2023-05-16,Toyota Corolla,32841,Dealer B,Black,2.5L,2020,151,Standard Sedan
2022-06-08,BMW 5 Series,43598,Dealer B,White,3.5L,2023,248,Sports
2022-04-06,Chevrolet Malibu,36983,Dealer B,Black,3.0L,2024,173,Standard Sedan
2024-03-05,Audi A6,56852,Dealer B,Black,3.0L,2024,330,Sports
2023-09-13,Ford Mustang,27226,Dealer B,Blue,3.5L,2021,153,SUV
2020-09-03,Audi A4,35524,Dealer B,Green,2.5L,2022,387,Standard Sedan
2023-01-12,BMW 3 Series,52017,Dealer B,White,3.0L,2021,350,Premium
2021-08-05,Ford Mustang,19625,Dealer B,Silver,2.5L,2024,158,Sports
2024-10-18,BMW 3 Series,30675,Dealer B,Silver,3.0L,2022,183,Premium
2022-05-23,Chevrolet Malibu,50907,Dealer B,White,3.5L,2020,212,Premium
2022-06-12,Audi A6,41101,Dealer B,White,3.0L,2022,330,Sports
2022-11-19,Ford Mustang,19649,Dealer B,Black,3.5L,2022,287,Sports
2022-08-20,BMW 5 Series,53317,Dealer B,Silver,2.0L,2020,314,SUV
2020-05-24,Ford Focus,58941,Dealer B,White,3.0L,2024,265,SUV
2020-10-28,Ford Focus,33152,Dealer B,Silver,3.5L,2022,335,Sports
2025-02-08,Honda Civic,23632,Dealer B,Black,2.0L,2023,187,Intermediate Sedan
2023-09-14,Audi A6,49774,Dealer B,Silver,3.0L,2022,211,Sports
2021-09-04,Chevrolet Impala,53513,Dealer B,Silver,2.5L,2024,211,Premium
2023-10-31,Ford Focus,16903,Dealer B,White,2.0L,2022,297,Premium
2020-03-22,Audi A6,15528,Dealer B,Red,3.5L,2025,345,Premium
2025-01-01,Chevrolet Malibu,46678,Dealer B,Gray,2.0L,2020,378,Standard Sedan
2023-01-20,Toyota Corolla,47329,Dealer B,Silver,2.0L,2020,352,Sports
2024-02-24,Ford Mustang,52720,Dealer B,Silver,3.5L,2023,361,Intermediate Sedan
2024-02-14,Honda Accord,19564,Dealer B,Red,2.5L,2023,349,Intermediate Sedan
2025-01-04,Ford Focus,57556,Dealer B,Gray,2.5L,2024,299,SUV
2024-05-06,Ford Mustang,58281,Dealer B,Black,3.5L,2024,321,Standard Sedan
2020-09-16,Audi A4,48085,Dealer B,Red,3.0L,2022,397,Premium
2020-05-21,Chevrolet Malibu,44079,Dealer B,White,3.5L,2025,319,Standard Sedan
2025-01-24,Honda Accord,18206,Dealer B,White,2.5L,2023,325,Premium
2020-05-18,BMW 5 Series,34964,Dealer B,Green,3.5L,2023,331,SUV
2020-04-05,BMW 5 Series,49452,Dealer B,Blue,3.5L,2022,185,Premium
2020-09-06,Audi A4,46832,Dealer B,White,2.0L,2025,318,Intermediate Sedan
2024-10-23,Honda Civic,57907,Dealer B,Black,3.5L,2024,392,Standard Sedan
2020-12-28,Honda Civic,23205,Dealer B,White,3.0L,2020,270,Intermediate Sedan
2020-04-04,Honda Accord,46942,Dealer B,Silver,3.0L,2025,222,SUV
2024-09-02,Audi A4,30362,Dealer B,White,2.5L,2022,223,SUV
2021-07-01,Toyota Camry,22644,Dealer B,Blue,3.0L,2023,232,Standard Sedan
2024-04-29,Honda Civic,56468,Dealer B,Gray,2.0L,2021,393,SUV
2020-06-25,Honda Accord,45192,Dealer B,Blue,3.5L,2022,184,SUV
2022-03-18,Ford Focus,27463,Dealer B,Red,2.5L,2023,169,Intermediate Sedan
2023-06-01,Toyota Corolla,55506,Dealer B,White,3.5L,2020,190,Sports
2020-06-29,Toyota Corolla,44267,Dealer B,Blue,3.5L,2022,194,Intermediate Sedan
2021-03-23,BMW 5 Series,58637,Dealer B,Black,3.0L,2022,185,SUV
2020-03-05,BMW 3 Series,20199,Dealer B,Gray,3.0L,2023,360,Sports
2023-02-21,Chevrolet Malibu,23134,Dealer B,Gray,2.5L,2025,202,Sports
